id,model,score
510,BERT,-0.45555655203770823
463,BERT,-0.8006676240163584
570,PG,1.283231652362576
259,BERT,-0.8006676240163584
108,BERT,-0.13371602229906399
366,PG,-0.20517482902619158
22,BERT,-0.3934172319236371
428,BERT,0.935836225690068
416,PG,-0.3934172319236371
318,PG,0.05452638059838152
235,PG,-0.8006676240163584
720,BERT,-0.5651023629009654
512,PG,0.17816141004079877
624,PG,-0.5651023629009654
462,BERT,-0.5888974201281433
483,PG,0.7963356294352534
404,PG,0.5898415331642881
747,BERT,-0.8006676240163584
498,BERT,-0.8006676240163584
295,PG,-0.13337513101706158
365,BERT,1.076138515712178
375,BERT,-0.3934172319236371
643,BERT,-0.5726074044444344
660,PG,-0.2274963324657843
422,BERT,-0.8006676240163584
107,BERT,-0.8006676240163584
161,BERT,-0.8006676240163584
749,PG,-0.8006676240163584
179,PG,1.2403930930673335
126,BERT,-0.8006676240163584
616,PG,0.5936349798549752
480,PG,-0.8006676240163584
131,PG,0.2351164718611698
286,PG,0.3432532568434585
24,PG,-0.2554166205266738
337,PG,-0.09597901658391446
321,BERT,-0.8006676240163584
468,BERT,-0.25937640446220656
669,BERT,-0.26007636383320204
1,PG,0.6499455405429542
167,BERT,0.9365452547290763
701,BERT,-0.29463628716838614
675,PG,0.6595678894039897
318,BERT,0.29182094197192504
660,BERT,-0.4499753466502683
283,BERT,-0.7617555247495197
462,PG,0.1064615690729691
457,BERT,0.6022131446476989
608,PG,-0.6473978482283134
669,PG,1.466744408764755
253,PG,-0.7617555247495197
506,PG,0.061657267346551727
639,BERT,1.2790507208592754
196,BERT,-0.7617555247495197
634,BERT,-0.4149327566078311
507,PG,0.07024508148823048
395,PG,-0.29671386697537355
176,PG,-0.7617555247495197
589,BERT,-0.7617555247495197
321,PG,0.28047421977452397
253,BERT,-0.7617555247495197
228,BERT,-0.42608942775028336
507,BERT,-0.23819528343301963
548,BERT,-0.3160848875840045
751,PG,-0.7198707054441997
56,PG,-0.23819528343301963
395,BERT,1.466744408764755
190,PG,0.30435434221056545
262,BERT,0.4282461724564966
576,BERT,1.056920215830319
455,PG,0.602248417801216
719,BERT,0.9990007677725283
532,PG,0.00037858817742440304
405,PG,-0.7617555247495197
20,PG,0.4307739598398099
586,PG,-0.7617555247495197
645,BERT,-0.7617555247495197
555,BERT,-0.7617555247495197
140,PG,-0.5104466089175997
703,BERT,-0.7617555247495197
167,PG,-0.36463892788849145
441,PG,0.2440618846708933
512,BERT,-0.7617555247495197
108,PG,0.8850688718715721
576,PG,0.7903131952400931
371,BERT,-0.42903293699760825
366,BERT,-0.7617555247495197
369,PG,-0.7617555247495197
339,BERT,0.33800316036558176
275,PG,-0.5724904478000113
399,PG,0.1671503305433177
614,BERT,-0.7194790104064156
375,PG,-0.1853467716326307
63,BERT,-0.2995172522480774
115,BERT,-0.3744798843604886
532,BERT,-0.321051731391888
409,PG,0.7816188054915049
714,BERT,-0.697183379509848
101,BERT,-0.697183379509848
475,BERT,-0.5991637582522592
565,BERT,-0.697183379509848
480,BERT,-0.697183379509848
217,BERT,1.749289291213845
3,BERT,-0.697183379509848
437,BERT,-0.697183379509848
137,PG,-0.4367447220087017
624,BERT,-0.2995172522480774
586,BERT,-0.697183379509848
196,PG,0.5586614640465641
109,PG,-0.697183379509848
703,PG,0.026843330240404768
639,PG,-0.5651355070897135
141,BERT,-0.5526417350709782
387,BERT,-0.2799133279965596
711,BERT,-0.5222705712475552
309,BERT,0.21210285357401418
483,BERT,-0.21551391301059078
283,PG,-0.461936288491635
241,BERT,0.7290643755698684
169,PG,0.17266602340619017
661,BERT,-0.23491381481664556
187,PG,-0.25492578395908927
416,BERT,-0.12998806377173724
711,PG,-0.19590998875907303
488,BERT,1.042291928651616
671,BERT,-0.023878150833955933
107,PG,-0.697183379509848
719,PG,0.11775279926521097
404,BERT,-0.09078021526870174
225,BERT,0.19960908155527898
20,BERT,-0.5599559097492238
369,BERT,-0.697183379509848
438,BERT,-0.697183379509848
696,PG,0.23956808784093597
459,PG,-0.461936288491635
495,PG,-0.08048818341923786
225,PG,1.3020923602056185
339,PG,0.3395177534474625
365,PG,-0.346447792203882
575,BERT,0.15692153425195102
295,BERT,-0.6972839898952351
126,PG,-0.4160846556687639
186,BERT,0.11523484058134477
422,PG,-0.6387317699397403
488,PG,0.8873020201376072
570,BERT,0.15474677592662237
264,BERT,-0.6192143632879089
371,PG,4.3406959366389195
176,BERT,-0.6972839898952351
616,BERT,-0.3269303855520504
438,PG,-0.2093488235994467
138,PG,0.2851087585726511
161,PG,-0.48306963876670267
747,PG,1.4602218756661405
545,PG,-0.23777611543533692
417,PG,-0.5163235692948648
695,BERT,-0.5216273300287512
22,PG,0.33811460222558054
475,PG,0.16352031632502265
661,PG,-0.6054778394115783
428,PG,0.12727372817396124
39,PG,1.6694132647278463
187,BERT,-0.6972839898952351
628,PG,-0.44933858619692596
348,BERT,-0.14596996495168021
714,PG,-0.39126348828304597
417,BERT,-0.6972839898952351
551,PG,0.08308146711748958
701,PG,0.18510435141948609
101,PG,-0.3949295913221145
409,BERT,1.6082091644054086
55,PG,-0.5996969566360774
296,PG,-0.6972839898952351
441,BERT,-0.11754267311578999
680,BERT,-0.3353631486944946
754,PG,0.4202392604217318
286,BERT,-0.4524675886054838
608,BERT,-0.4758461545157675
264,PG,-0.4181562055232011
506,BERT,-0.4546534133895726
259,PG,-0.04706866998207404
555,PG,-0.39107519001098784
495,BERT,-0.4122679311371827
696,BERT,-0.4546534133895726
140,BERT,-0.20034051987523335
56,BERT,2.8734147401191836
459,BERT,-0.3829962004831078
671,PG,1.1939341641736074
169,BERT,-0.4758461545157675
301,PG,-0.21153328787213935
348,PG,0.5117398474902172
463,PG,-0.4546534133895726
505,BERT,-0.49703889564196246
736,BERT,-0.49703889564196246
628,BERT,-0.49703889564196246
228,PG,-0.17422511673924368
749,BERT,-0.2639187432538182
457,PG,0.3457953874603786
55,BERT,-0.17914777874903845
3,PG,-0.4546534133895726
128,BERT,-0.49703889564196246
575,PG,0.17544249518429497
680,PG,-0.39401932720399696
751,BERT,-0.49703889564196246
115,PG,-0.24851418624920582
190,BERT,-0.14714410122703037
217,PG,-0.3698824488847929
736,PG,-0.4758461545157675
444,BERT,4.422819965431937
450,BERT,-0.49703889564196246
651,BERT,-0.4546534133895726
235,BERT,-0.4758461545157675
138,BERT,-0.49703889564196246
301,BERT,-0.32749696663240296
505,PG,-0.43346067226337764
131,BERT,2.229992889621925
96,PG,-0.3486897077585979
589,PG,-0.39696346439700614
262,PG,-0.2705604396909841
634,PG,-0.1318684050945421
29,BERT,-0.43346067226337764
387,PG,-0.27566652141816655
431,BERT,-0.4546534133895726
250,BERT,-0.4758461545157675
309,PG,-0.3765954649787062
24,BERT,-0.1579550376228435
498,PG,-0.2215332610014283
455,BERT,-0.6898159107839549
399,BERT,0.612372041106675
1,BERT,-0.5661349820044009
510,PG,-0.5936196328443019
63,PG,-0.30620933186785476
468,PG,-0.3627431906724101
29,PG,-0.028134761249536625
296,BERT,-0.6497674673666155
437,PG,-0.15326251519282075
337,BERT,0.30081005229498786
179,BERT,-0.7298643542012943
548,PG,-0.41496940238494634
645,PG,-0.662331259944054
565,PG,0.09562465550403282
39,BERT,0.21873449523741215
275,BERT,0.4167074394377816
675,BERT,-0.10361004909613412
431,PG,-0.19331095861016012
405,BERT,-0.5353830249581828
250,PG,2.189455050208002
754,BERT,0.48522758618576484
141,PG,-0.15504375224840009
614,PG,0.5953184259101293
388,BERT,-0.71376496309632
137,BERT,-0.7000226376763696
545,BERT,0.09427510230553886
695,PG,-0.5284436042720855
96,BERT,0.16652232793282676
643,PG,0.28945166814368417
720,PG,-0.5535711894269625
128,PG,-0.591262567159278
450,PG,-0.5696705805319368
651,PG,1.172736297053364
42,PG,-0.14601555819849732
663,PG,-0.714943495938832
663,BERT,-0.4263546621198729
388,PG,-0.6898159107839549
42,BERT,-0.5798773074243515
109,BERT,-0.809961241035973
444,PG,-0.7699127976186336
551,BERT,-0.5421859296920358
241,PG,1.5830114946746037
186,PG,-0.7023797033613933
